asset_id,name,name_en,name_ms,category,osm_category,osm_type,osm_id,lat,lon,state,state_code,district,district_code,website,phone,opening_hours,fee,wheelchair
OSM_way_230066657,Pantai Desaru,,,Beach,natural=beach,way,230066657,1.550557,104.265553,Johor,01,Kota Tinggi,04,,,,,
OSM_way_491888375,Pantai Desaru,,,Beach,natural=beach,way,491888375,1.547594,104.262389,Johor,01,Kota Tinggi,04,,,,,
OSM_way_494803227,Pantai Tanjung Balau,Tanjung Balau Beach,,Beach,natural=beach,way,494803227,1.629159,104.251473,Johor,01,Kota Tinggi,04,,,,,
OSM_node_6757641532,Pasir Bunga,,Pasir Bunga,Beach,natural=beach,node,6757641532,1.406828,104.105903,Johor,01,Kota Tinggi,04,,,,,
OSM_node_5574943268,Tidal Wave Beach,,,Beach,natural=beach,node,5574943268,1.54039,104.26293,Johor,01,Kota Tinggi,04,,,,,
OSM_way_541901148,Unnamed Beach,,,Beach,natural=beach,way,541901148,1.440863,104.294883,Johor,01,Kota Tinggi,04,,,,,
OSM_way_541901152,Unnamed Beach,,,Beach,natural=beach,way,541901152,1.475237,104.283718,Johor,01,Kota Tinggi,04,,,,,
OSM_way_545007572,Unnamed Beach,,,Beach,natural=beach,way,545007572,1.592873,104.256987,Johor,01,Kota Tinggi,04,,,,,
OSM_way_550255983,Unnamed Beach,,,Beach,natural=beach,way,550255983,1.540266,104.262826,Johor,01,Kota Tinggi,04,,,,,
OSM_way_899825276,Unnamed Beach,,,Beach,natural=beach,way,899825276,1.830479,104.157103,Johor,01,Kota Tinggi,04,,,,,
OSM_way_899825277,Unnamed Beach,,,Beach,natural=beach,way,899825277,1.833671,104.158554,Johor,01,Kota Tinggi,04,,,,,
OSM_way_1239919036,Unnamed Beach,,,Beach,natural=beach,way,1239919036,1.375281,104.282731,Johor,01,Kota Tinggi,04,,,,,
OSM_way_1239919037,Unnamed Beach,,,Beach,natural=beach,way,1239919037,1.408931,104.280915,Johor,01,Kota Tinggi,04,,,,,
OSM_relation_18169092,Unnamed Beach,,,Beach,natural=beach,relation,18169092,1.352636,104.233957,Johor,01,Kota Tinggi,04,,,,,
OSM_node_6565337288,Kubur Awam Pasir Gogok,,,Historic Site (Memorial),historic=memorial,node,6565337288,1.429944,104.103528,Johor,01,Kota Tinggi,04,,,,,
OSM_way_699142816,Unnamed Historic Site (Memorial),,,Historic Site (Memorial),historic=memorial,way,699142816,1.430856,104.104201,Johor,01,Kota Tinggi,04,,,,,
OSM_node_4139071123,Unnamed Historic Site (Ruins),,,Historic Site (Ruins),historic=ruins,node,4139071123,1.369809,104.090413,Johor,01,Kota Tinggi,04,,,,,
OSM_node_2571557766,Johor Lama Museum,,,Museum,tourism=museum,node,2571557766,1.580478,104.017499,Johor,01,Kota Tinggi,04,,,,,
